s,E,b,traceFile,hits,misses,evictions
1,2000,3,traces/mmulijk.trace,567544,26476,22476
1,1000,4,traces/mmulijk.trace,577763,16257,14257
1,500,5,traces/mmulijk.trace,585250,8770,7770
1,250,6,traces/mmulijk.trace,589174,4846,4346
1,125,7,traces/mmulijk.trace,591235,2785,2535
1,62,8,traces/mmulijk.trace,588791,5229,5105
1,31,9,traces/mmulijk.trace,589316,4704,4642
2,1000,3,traces/mmulijk.trace,567542,26478,22478
2,500,4,traces/mmulijk.trace,577762,16258,14258
2,250,5,traces/mmulijk.trace,585244,8776,7776
2,125,6,traces/mmulijk.trace,589172,4848,4348
2,62,7,traces/mmulijk.trace,591239,2781,2533
2,31,8,traces/mmulijk.trace,589303,4717,4593
3,500,3,traces/mmulijk.trace,567544,26476,22476
3,250,4,traces/mmulijk.trace,577761,16259,14259
3,125,5,traces/mmulijk.trace,585244,8776,7776
3,62,6,traces/mmulijk.trace,589177,4843,4347
3,31,7,traces/mmulijk.trace,591243,2777,2529
4,250,3,traces/mmulijk.trace,567544,26476,22476
4,125,4,traces/mmulijk.trace,577754,16266,14266
4,62,5,traces/mmulijk.trace,585244,8776,7784
4,31,6,traces/mmulijk.trace,589176,4844,4348
5,125,3,traces/mmulijk.trace,567541,26479,22479
5,62,4,traces/mmulijk.trace,577766,16254,14270
5,31,5,traces/mmulijk.trace,585247,8773,7781
6,62,3,traces/mmulijk.trace,567551,26469,22501
6,31,4,traces/mmulijk.trace,577766,16254,14270
7,31,3,traces/mmulijk.trace,567552,26468,22500
1,2000,3,traces/ls.trace,306884,21726,17726
1,1000,4,traces/ls.trace,315270,13340,11340
1,500,5,traces/ls.trace,320351,8259,7259
1,250,6,traces/ls.trace,323167,5443,4943
1,125,7,traces/ls.trace,324747,3863,3613
1,62,8,traces/ls.trace,325406,3204,3080
1,31,9,traces/ls.trace,324506,4104,4042
2,1000,3,traces/ls.trace,306886,21724,17724
2,500,4,traces/ls.trace,315272,13338,11338
2,250,5,traces/ls.trace,320333,8277,7277
2,125,6,traces/ls.trace,323169,5441,4941
2,62,7,traces/ls.trace,324735,3875,3627
2,31,8,traces/ls.trace,325409,3201,3077
3,500,3,traces/ls.trace,306889,21721,17721
3,250,4,traces/ls.trace,315271,13339,11339
3,125,5,traces/ls.trace,320326,8284,7284
3,62,6,traces/ls.trace,323141,5469,4973
3,31,7,traces/ls.trace,324692,3918,3670
4,250,3,traces/ls.trace,306890,21720,17720
4,125,4,traces/ls.trace,315275,13335,11335
4,62,5,traces/ls.trace,320298,8312,7320
4,31,6,traces/ls.trace,323117,5493,4997
5,125,3,traces/ls.trace,306893,21717,17717
5,62,4,traces/ls.trace,315261,13349,11365
5,31,5,traces/ls.trace,320286,8324,7332
6,62,3,traces/ls.trace,306882,21728,17760
6,31,4,traces/ls.trace,315229,13381,11397
7,31,3,traces/ls.trace,306843,21767,17799
